vazao,data_day
1.0000000000,05/10/17
1.2857142857,05/10/17
0.8750000000,05/10/17
1.0000000000,05/10/17
1.0000000000,05/10/17
1.0000000000,05/10/17
1.1250000000,05/10/17
1.0000000000,05/10/17
1.1250000000,05/10/17
0.8571428571,05/10/17
1.1333333333,05/10/17
1.1250000000,05/10/17
1.7142857143,05/10/17
1.8750000000,05/10/17
3.1428571429,05/10/17
3.0666666667,05/10/17
3.6250000000,05/10/17
5.1428571429,05/10/17
5.5714285714,05/10/17
5.6250000000,05/10/17
8.7142857143,05/10/17
8.2500000000,05/10/17
10.2500000000,05/10/17
13.7142857143,05/10/17
13.2500000000,05/10/17
17.1428571429,05/10/17
18.2857142857,05/10/17
17.1250000000,05/10/17
19.8571428571,05/10/17
16.1250000000,05/10/17
12.5000000000,05/10/17
4.8571428571,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.0000000000,05/10/17
0.1250000000,05/10/17
0.0000000000,05/10/17
0.1250000000,05/10/17
0.0909090909,05/10/17
0.2500000000,05/10/17
0.1428571429,05/10/17
0.2500000000,05/10/17
0.1428571429,05/10/17
0.2500000000,05/10/17
0.1428571429,05/10/17
0.2500000000,05/10/17
0.5714285714,05/10/17
0.2500000000,05/10/17
0.2857142857,05/10/17
0.2500000000,05/10/17
0.2666666667,05/10/17
0.2500000000,05/10/17
0.4285714286,05/10/17
0.3333333333,05/10/17
0.2666666667,05/10/17
0.4285714286,05/10/17
0.6250000000,05/10/17
0.7142857143,05/10/17
0.6250000000,05/10/17
0.8571428571,05/10/17
0.8571428600,05/10/17
0.7500000000,05/10/17
1.0000000000,05/10/17
1.0000000000,05/10/17
1.1250000000,05/10/17
1.2142857143,05/10/17
1.2500000000,05/10/17
1.4285714286,05/10/17
1.5000000000,05/10/17
1.8571428571,05/10/17
1.5000000000,05/10/17
1.8571428571,05/10/17
2.1333333333,05/10/17
2.5000000000,05/10/17
2.7142857143,05/10/17
2.8750000000,05/10/17
4.0000000000,05/10/17
4.7142857143,05/10/17
4.7500000000,05/10/17
6.2857142857,05/10/17
7.4666666667,04/10/17
9.3750000000,04/10/17
14.7142857143,04/10/17
14.3750000000,04/10/17
15.7500000000,04/10/17
20.1428571429,04/10/17
17.8750000000,04/10/17
22.6428571429,04/10/17
18.3750000000,04/10/17
15.6250000000,04/10/17
10.8571428571,04/10/17
1.2857142857,04/10/17
0.0000000000,04/10/17
0.0000000000,04/10/17
0.4285714286,04/10/17
0.5000000000,04/10/17
0.4285714286,04/10/17
